,airmass,date,fname,juliandate,mag1,mag10,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,merr1,merr10,merr2,merr3,merr4,merr5,merr6,merr7,merr8,merr9
233,1.31,60507,rccd060507.0016_gregist,2453863.49598,22.455,19.165,17.811,19.945,20.378,21.985,18.313,19.109,19.64,19.683,0.041,0.002,0.001,0.004,0.005,0.022,0.001,0.002,0.003,0.003
234,1.29,60507,rccd060507.0022_gregist,2453863.52555,22.16,19.226,,19.988,20.455,22.148,18.364,19.172,19.709,19.748,0.038,0.002,,0.004,0.005,0.028,0.001,0.002,0.004,0.004
235,1.28,60507,rccd060507.0024_gregist,2453863.54841,22.586,19.415,18.057,20.179,20.631,22.246,18.552,19.363,19.896,19.929,0.057,0.003,0.001,0.006,0.008,0.031,0.001,0.003,0.004,0.004
236,1.29,60507,rccd060507.0030_gregist,2453863.57842,22.2,19.178,,19.952,20.356,22.06,18.321,19.122,19.659,19.695,0.032,0.002,,0.004,0.005,0.025,0.001,0.002,0.003,0.003
237,1.32,60507,rccd060507.0035_gregist,2453863.60974,22.251,19.121,,19.879,20.334,21.914,,19.057,19.596,19.63,0.031,0.002,,0.003,0.005,0.02,,0.002,0.003,0.003
238,1.42,60507,rccd060507.0043_gregist,2453863.65995,22.3,19.141,,19.909,20.354,22.029,,19.084,19.615,19.673,0.028,0.002,,0.003,0.005,0.024,,0.002,0.003,0.003
239,1.55,60507,rccd060507.0048_gregist,2453863.69889,22.326,19.202,,19.974,20.406,22.111,18.342,,19.664,19.711,0.033,0.002,,0.004,0.006,0.024,0.001,,0.003,0.003
240,1.31,60508,rccd060508.0040_gregist,2453864.59547,22.17,19.109,,19.871,20.329,22.031,18.25,19.052,19.6,19.642,0.031,0.002,,0.003,0.005,0.026,0.001,0.002,0.003,0.003
241,1.28,60509,rccd060509.0036_gregist,2453865.53689,22.318,19.105,,19.858,20.323,22.065,,19.039,19.571,19.614,0.046,0.002,,0.004,0.005,0.031,,0.002,0.004,0.004
242,1.28,60510,rccd060510.0029_gregist,2453866.54498,22.281,19.1,,19.863,20.304,22.053,,19.038,19.579,19.621,0.054,0.002,,0.005,0.006,0.03,,0.002,0.004,0.004
243,1.33,70407,rccd070407.0044_gregist,2454198.69805,22.175,18.965,,19.712,20.177,21.795,,18.889,19.435,19.431,0.033,0.002,,0.003,0.004,0.018,,0.002,0.003,0.003
244,1.32,70408,rccd070408.0050_gregist,2454199.68882,22.7,19.594,18.243,20.365,20.789,22.573,18.736,19.585,20.085,20.126,0.037,0.002,0.001,0.004,0.007,0.035,0.001,0.003,0.004,0.004
245,1.29,70409,rccd070409.0039_gregist,2454200.65619,22.62,,18.086,20.184,20.635,22.2,18.584,,19.884,19.944,0.027,,0.001,0.003,0.004,0.016,0.001,,0.002,0.003
246,1.31,70411,rccd070411.0020_gregist,2454202.67001,22.619,19.438,18.073,20.203,20.645,22.353,18.573,19.412,19.924,19.954,0.022,0.001,0.001,0.003,0.004,0.015,0.001,0.002,0.002,0.002
247,1.28,70412,rccd070412.0040_gregist,2454203.62158,22.159,18.966,,19.738,20.179,21.884,,18.905,19.436,19.483,0.017,0.001,,0.002,0.003,0.011,,0.001,0.002,0.002
248,1.34,70414,rccd070414.0048_gregist,2454205.68758,22.158,19.019,17.648,19.768,20.201,21.87,18.14,18.944,19.449,19.512,0.015,0.001,0.001,0.002,0.003,0.01,0.001,0.001,0.002,0.002
249,1.38,70417,rccd070417.0058_gregist,2454208.69831,22.12,19.005,,19.755,20.203,21.887,,,19.43,19.507,0.015,0.001,,0.002,0.003,0.013,,,0.002,0.002
251,1.36,70419,rccd070419.0008_gregist,2454210.68472,22.308,19.131,,19.888,20.332,22.013,18.253,19.064,19.599,19.633,0.02,0.001,,0.002,0.003,0.011,0.001,0.001,0.002,0.002
252,1.45,70421,rccd070421.0002_gregist,2454212.71481,22.223,,17.756,19.851,20.311,21.979,18.254,,19.557,19.615,0.018,,0.001,0.002,0.003,0.011,0.001,,0.002,0.002
253,1.36,70424,rccd070424.0045_gregist,2454215.66675,22.197,19.06,17.683,19.795,20.229,21.913,18.176,18.99,19.496,19.541,0.024,0.001,0.001,0.003,0.003,0.016,0.001,0.002,0.002,0.002
254,1.28,70425,rccd070425.0022_gregist,2454216.56740,22.13,18.992,17.637,19.762,20.198,21.867,18.136,18.941,19.464,19.5,0.021,0.002,0.001,0.003,0.004,0.018,0.001,0.002,0.002,0.003
255,1.29,70426,rccd070426.0032_gregist,2454217.59950,22.249,18.955,,19.732,20.189,21.78,18.104,18.895,19.448,19.487,0.032,0.002,,0.003,0.004,0.017,0.001,0.002,0.003,0.003
256,1.28,70427,rccd070427.0026_gregist,2454218.57221,22.184,18.991,,19.762,20.216,21.815,18.125,18.926,19.483,19.518,0.037,0.002,,0.004,0.005,0.022,0.001,0.002,0.003,0.003
257,1.29,70428,rccd070428.0032_gregist,2454219.60245,22.354,19.005,17.661,19.78,20.235,21.879,18.149,18.936,19.488,19.526,0.046,0.002,0.001,0.004,0.005,0.025,0.001,0.002,0.003,0.004
258,1.31,70429,rccd070429.0042_gregist,2454220.62176,22.158,18.98,17.644,19.762,20.213,21.874,18.129,18.921,19.483,19.508,0.043,0.002,0.001,0.004,0.007,0.029,0.001,0.003,0.003,0.004
259,1.32,70509,rccd070509.0032_gregist,2454230.60071,22.139,19.005,,19.766,20.213,21.936,18.148,18.031,19.448,19.514,0.014,0.001,,0.002,0.003,0.012,0.001,0.005,0.002,0.002
260,1.34,70510,rccd070510.0109_gregist,2454231.61513,22.482,19.578,18.238,20.351,20.804,22.448,18.727,19.514,20.07,20.097,0.026,0.002,0.001,0.004,0.005,0.019,0.001,0.002,0.003,0.003
262,1.56,70514,rccd070514.0048_gregist,2454235.68317,22.243,19.022,,19.793,20.241,21.95,18.17,18.963,19.514,19.539,0.018,0.001,,0.002,0.003,0.011,0.001,0.001,0.002,0.002
263,1.31,70516,rccd070516.0030_gregist,2454237.57767,22.129,18.971,,19.747,20.198,21.856,18.115,18.906,19.466,19.494,0.019,0.001,,0.002,0.003,0.011,0.001,0.001,0.002,0.002
264,1.37,70517,rccd070517.0044_gregist,2454238.61171,22.213,,,19.813,20.258,21.986,18.183,,19.521,19.554,0.019,,,0.002,0.003,0.011,0.001,,0.002,0.002
265,1.34,70518,rccd070518.0040_gregist,2454239.59355,22.227,19.02,,19.795,20.235,21.93,18.164,,19.476,19.539,0.014,0.001,,0.002,0.003,0.012,0.001,,0.002,0.002
266,1.42,70519,rccd070519.0045_gregist,2454240.62736,22.226,,17.708,19.824,20.265,21.986,18.198,,19.53,19.563,0.017,,0.001,0.002,0.003,0.011,0.001,,0.002,0.002
267,1.28,70520,rccd070520.0024_gregist,2454241.52091,22.219,19.057,17.706,19.818,20.247,21.944,18.189,18.994,19.517,19.569,0.018,0.001,0.001,0.002,0.003,0.013,0.001,0.002,0.002,0.002
268,1.31,70521,rccd070521.0018_gregist,2454242.55738,22.221,19.048,,19.806,20.256,21.954,18.182,,19.538,19.555,0.02,0.001,,0.002,0.003,0.014,0.001,,0.002,0.002
269,1.39,70522,rccd070522.0029_gregist,2454243.60615,22.25,19.036,,19.784,20.226,21.935,18.165,18.906,19.473,19.541,0.027,0.001,,0.002,0.003,0.013,0.001,0.009,0.002,0.002
270,1.34,70523,rccd070523.0025_gregist,2454244.57514,22.174,19.01,,19.777,20.225,21.949,18.152,,19.483,19.528,0.022,0.002,,0.002,0.004,0.015,0.001,,0.002,0.002
271,1.3,70525,rccd070525.0020_gregist,2454246.53598,22.2,19.015,17.672,19.797,20.249,21.945,18.162,18.954,19.511,19.535,0.031,0.002,0.001,0.003,0.005,0.019,0.001,0.002,0.003,0.003
272,1.33,70526,rccd070526.0026_gregist,2454247.56316,22.269,19.038,17.702,19.82,20.243,21.872,18.187,18.978,19.537,19.557,0.035,0.002,0.001,0.004,0.005,0.022,0.001,0.002,0.003,0.003
273,1.45,70602,rccd070602.0047_gregist,2454254.59994,22.279,19.002,,19.775,20.225,21.874,18.148,18.963,19.474,19.522,0.046,0.002,,0.004,0.006,0.028,0.001,0.003,0.004,0.003
274,1.32,70603,rccd070603.0015_gregist,2454255.53771,22.192,19.046,17.695,19.806,20.257,21.897,18.195,21.382,19.487,19.578,0.031,0.002,0.001,0.003,0.005,0.023,0.001,0.045,0.003,0.003
275,1.3,70604,rccd070604.0021_gregist,2454256.51699,22.145,,,19.777,20.222,21.948,18.155,,19.469,19.507,0.016,,,0.002,0.003,0.012,0.001,,0.002,0.002
276,1.29,70605,rccd070605.0016_gregist,2454257.50215,22.185,19.011,17.675,19.783,20.226,21.94,18.156,,19.482,19.525,0.016,0.001,0.001,0.002,0.003,0.012,0.001,,0.002,0.002
277,1.33,70606,rccd070606.0015_gregist,2454258.53040,22.14,18.993,17.658,19.766,20.22,21.922,18.13,18.931,19.463,19.507,0.017,0.001,0.001,0.002,0.003,0.01,0.001,0.001,0.002,0.002
278,1.34,70609,rccd070609.0019_gregist,2454261.53278,22.213,19.049,17.708,19.825,20.271,21.94,18.197,18.991,19.541,19.559,0.019,0.001,0.001,0.002,0.004,0.014,0.001,0.001,0.002,0.002
281,1.33,70620,rccd070620.0002_gregist,2454272.49163,22.198,21.853,17.719,19.832,20.27,21.978,19.025,,19.507,19.596,0.02,0.2,0.001,0.002,0.003,0.014,0.017,,0.002,0.002
282,1.35,70622,rccd070622.0012_gregist,2454274.50249,22.285,19.036,,19.818,20.253,21.952,18.182,18.981,19.531,19.555,0.029,0.001,,0.003,0.004,0.016,0.001,0.002,0.002,0.002
283,1.31,70623,rccd070623.0006_gregist,2454275.47199,21.998,19.032,17.697,19.816,20.253,21.927,18.187,18.976,19.538,19.552,0.023,0.001,0.001,0.003,0.004,0.019,0.001,0.002,0.003,0.003
284,1.39,70625,rccd070625.0020_gregist,2454277.51175,22.784,19.077,17.724,19.869,20.275,22.284,18.223,19.007,19.56,19.599,0.088,0.003,0.001,0.005,0.007,0.047,0.001,0.003,0.005,0.004
285,1.47,70626,rccd070626.0018_gregist,2454278.54179,22.408,19.071,17.737,19.839,20.302,21.981,18.224,19.01,19.569,19.593,0.053,0.002,0.001,0.005,0.007,0.036,0.001,0.003,0.004,0.004
286,1.28,80202,rccd080202.0129_gregist,2454499.81704,21.929,18.764,17.418,19.527,19.97,21.682,17.899,18.678,19.232,19.279,0.012,0.001,0.0,0.002,0.003,0.009,0.001,0.001,0.001,0.002
287,1.29,80203,rccd080203.0052_gregist,2454500.77339,22.036,18.827,,19.583,20.034,21.71,17.958,18.737,19.32,19.346,0.014,0.001,,0.002,0.002,0.01,0.001,0.001,0.001,0.002
288,1.28,80205,rccd080205.0042_gregist,2454502.79461,21.928,18.736,,19.493,19.927,21.65,17.869,18.647,19.221,19.247,0.013,0.001,,0.002,0.002,0.008,0.001,0.001,0.001,0.002
289,1.28,80210,rccd080210.0132_gregist,2454507.78122,21.919,18.743,,19.506,19.947,21.59,,18.681,19.241,19.258,0.013,0.001,,0.002,0.002,0.007,,0.001,0.001,0.002
290,1.36,80212,rccd080212.0057_gregist,2454509.69353,21.931,18.788,,19.552,19.99,21.682,,18.728,19.286,19.308,0.012,0.001,,0.002,0.002,0.008,,0.001,0.001,0.002
291,1.31,80214,rccd080214.0052_gregist,2454511.71566,21.958,18.785,,19.545,19.989,21.664,,18.691,19.28,19.305,0.012,0.001,,0.002,0.002,0.008,,0.001,0.001,0.001
292,1.28,80216,rccd080216.0061_gregist,2454513.74810,22.175,19.016,,19.779,20.194,21.924,18.15,18.931,19.514,19.542,0.022,0.001,,0.003,0.004,0.017,0.001,0.002,0.002,0.002
293,1.31,80222,rccd080222.0058_gregist,2454519.80503,21.921,18.756,,19.521,19.951,21.659,17.885,18.688,19.24,19.276,0.039,0.002,,0.004,0.005,0.02,0.001,0.002,0.003,0.003
294,1.29,80224,rccd080224.0067_gregist,2454521.78050,21.886,18.76,,19.526,19.976,21.662,,18.686,19.238,19.277,0.026,0.002,,0.003,0.004,0.018,,0.002,0.003,0.003
295,1.29,80227,rccd080227.0033_gregist,2454524.75802,21.935,18.769,,19.521,19.975,21.642,,18.692,19.249,19.284,0.019,0.001,,0.002,0.003,0.014,,0.001,0.002,0.002
296,1.28,80301,rccd080301.0052_gregist,2454527.72206,21.93,18.792,,19.531,19.98,21.665,,18.718,19.193,19.305,0.013,0.001,,0.002,0.002,0.01,,0.001,0.001,0.002
297,1.28,80310,rccd080310.0056_gregist,2454536.70126,22.015,18.871,17.529,19.624,20.079,21.783,18.0,18.796,19.348,19.382,0.013,0.001,0.001,0.002,0.003,0.011,0.001,0.001,0.002,0.002
298,1.3,80316,rccd080316.0040_gregist,2454542.64443,22.019,18.789,,19.549,19.991,21.681,17.924,18.698,19.28,19.309,0.025,0.002,,0.002,0.004,0.018,0.001,0.001,0.002,0.002
299,1.35,80325,rccd080325.0057_gregist,2454551.74543,22.065,,,19.59,20.018,21.683,17.959,,19.281,19.342,0.039,,,0.003,0.004,0.02,0.001,,0.003,0.003
300,1.3,80328,rccd080328.0062_gregist,2454554.69784,21.935,18.777,,19.535,19.984,21.711,,18.688,19.266,19.294,0.018,0.001,,0.002,0.003,0.012,,0.001,0.002,0.002
301,1.31,80329,rccd080329.0079_gregist,2454555.70318,21.941,18.777,,19.546,19.985,21.703,,18.686,19.27,19.299,0.019,0.001,,0.002,0.003,0.009,,0.001,0.002,0.002
302,1.36,80331,rccd080331.0064_gregist,2454557.73095,22.006,18.81,,19.57,20.022,21.705,,18.728,19.297,19.33,0.013,0.001,,0.002,0.003,0.009,,0.001,0.002,0.001
303,1.37,80402,rccd080402.0064_gregist,2454559.73061,22.002,18.85,,19.609,20.047,21.752,17.984,18.766,19.337,19.368,0.015,0.001,,0.002,0.003,0.009,0.001,0.001,0.001,0.002
304,1.45,80402,rccd080402.0068_gregist,2454559.76353,22.041,18.885,,19.646,20.092,21.805,18.018,18.801,19.374,19.407,0.014,0.001,,0.002,0.002,0.011,0.001,0.001,0.002,0.002
305,1.43,80403,rccd080403.0068_gregist,2454560.75397,22.08,,,19.674,20.124,21.79,18.05,,19.372,19.432,0.016,,,0.002,0.003,0.011,0.001,,0.002,0.002
306,1.31,80408,rccd080408.0050_gregist,2454565.67265,21.989,18.824,,19.596,20.036,21.723,,18.772,19.328,19.344,0.014,0.001,,0.002,0.002,0.009,,0.001,0.001,0.002
307,1.36,80410,rccd080410.0056_gregist,2454567.70495,22.035,18.862,,19.628,20.077,21.746,,18.79,19.354,19.384,0.013,0.001,,0.002,0.002,0.009,,0.001,0.001,0.002
308,1.34,80412,rccd080412.0057_gregist,2454569.68544,21.945,18.782,,19.546,19.982,21.667,,18.691,19.264,19.297,0.014,0.001,,0.002,0.003,0.009,,0.001,0.002,0.002
309,1.32,80415,rccd080415.0041_gregist,2454572.66274,22.297,19.066,,19.826,20.272,22.03,18.201,18.972,19.557,19.587,0.04,0.002,,0.004,0.006,0.03,0.001,0.002,0.003,0.004
310,1.31,80417,rccd080417.0044_gregist,2454574.64750,21.938,18.798,,19.562,20.007,21.675,,18.731,19.275,19.317,0.035,0.002,,0.003,0.005,0.027,,0.002,0.003,0.003
311,1.51,80419,rccd080419.0060_gregist,2454576.73540,22.052,,,19.603,20.038,21.723,,,19.307,19.355,0.053,,,0.005,0.008,0.034,,,0.005,0.004
312,1.35,80422,rccd080422.0049_gregist,2454579.66895,22.027,,,19.579,20.014,21.673,,62.459,19.29,19.351,0.039,,,0.003,0.005,0.022,,,0.003,0.003
313,1.29,80423,rccd080423.0041_gregist,2454580.61747,22.046,,,19.558,20.022,21.733,17.96,,19.288,19.34,0.031,,,0.003,0.004,0.018,0.001,,0.003,0.002
314,1.3,80425,rccd080425.0043_gregist,2454582.61650,21.984,18.803,,19.569,20.017,21.693,17.938,18.717,19.295,19.327,0.017,0.001,,0.002,0.003,0.012,0.001,0.001,0.002,0.002
315,1.3,80427,rccd080427.0002_gregist,2454584.61167,22.503,19.416,18.074,20.151,20.62,22.351,18.558,19.337,19.914,19.937,0.026,0.002,0.001,0.003,0.004,0.018,0.001,0.002,0.002,0.003
316,1.31,80430,rccd080430.0025_gregist,2454587.61796,22.068,18.85,17.504,19.612,20.057,21.772,17.975,18.761,19.341,19.364,0.016,0.001,0.001,0.002,0.002,0.009,0.001,0.001,0.002,0.002
317,1.28,80504,rccd080504.0024_gregist,2454591.55504,21.959,18.783,,19.549,19.991,21.681,,18.721,19.286,19.301,0.014,0.001,,0.002,0.003,0.009,,0.001,0.002,0.002
318,1.32,80506,rccd080506.0027_gregist,2454593.60925,21.943,18.8,,19.564,20.016,21.729,,18.74,19.296,19.314,0.012,0.001,,0.002,0.002,0.009,,0.001,0.002,0.002
319,1.31,80507,rccd080507.0040_gregist,2454594.59563,21.986,,,19.584,20.032,21.726,17.958,,19.289,19.338,0.012,,,0.002,0.002,0.01,0.001,,0.001,0.002
320,1.28,80508,rccd080508.0021_gregist,2454595.55373,21.976,18.795,,19.567,20.003,21.701,17.929,18.71,19.271,19.316,0.012,0.001,,0.002,0.002,0.009,0.001,0.001,0.001,0.002
321,1.3,80510,rccd080510.0029_gregist,2454597.58151,21.953,18.83,,19.594,20.037,21.745,17.964,18.739,19.318,19.345,0.017,0.001,,0.002,0.003,0.01,0.001,0.001,0.002,0.002
322,1.28,80511,rccd080511.0022_gregist,2454598.54174,21.975,18.797,,19.564,19.998,21.671,17.934,18.71,19.295,19.318,0.015,0.001,,0.002,0.003,0.012,0.001,0.001,0.002,0.002
323,1.3,80512,rccd080512.0035_gregist,2454599.57875,21.981,18.793,,19.563,20.0,21.682,,18.702,19.267,19.315,0.021,0.001,,0.002,0.003,0.012,,0.001,0.002,0.002
324,1.3,80514,rccd080514.0025_gregist,2454601.57011,22.02,18.786,,19.548,19.996,21.648,,18.699,19.281,19.292,0.029,0.002,,0.003,0.003,0.017,,0.002,0.003,0.003
325,1.33,80515,rccd080515.0031_gregist,2454602.59140,22.021,18.852,,19.614,20.047,21.758,17.978,,19.324,19.364,0.035,0.002,,0.003,0.005,0.023,0.001,,0.003,0.003
326,1.31,80521,rccd080521.0031_gregist,2454608.55695,21.864,18.815,,19.575,20.023,21.669,17.952,18.743,19.285,19.335,0.032,0.002,,0.003,0.005,0.019,0.001,0.002,0.003,0.003
327,1.36,80524,rccd080524.0030_gregist,2454611.58360,21.999,18.833,,19.601,20.042,21.721,17.97,18.743,19.323,19.352,0.017,0.001,,0.002,0.003,0.013,0.001,0.001,0.002,0.002
328,1.37,80525,rccd080525.0005_gregist,2454612.58890,22.891,19.682,18.354,20.463,20.895,22.639,18.835,19.605,20.19,20.185,0.034,0.002,0.001,0.004,0.005,0.022,0.001,0.002,0.003,0.003
329,1.41,80606,rccd080606.0031_gregist,2454624.57225,22.049,18.846,,19.618,20.052,21.766,17.983,18.758,19.335,19.365,0.013,0.001,,0.002,0.003,0.01,0.001,0.001,0.001,0.002
330,1.39,80609,rccd080609.0019_gregist,2454627.55523,22.029,18.849,,19.611,20.05,21.766,17.986,18.764,19.335,19.369,0.015,0.001,,0.002,0.003,0.013,0.001,0.001,0.002,0.002
331,1.33,80611,rccd080611.0016_gregist,2454629.51476,21.985,18.83,,19.586,20.01,21.756,17.958,18.74,19.31,19.347,0.021,0.001,,0.002,0.004,0.017,0.001,0.001,0.002,0.002
332,1.36,80612,rccd080612.0009_gregist,2454630.53496,21.958,21.445,,19.639,20.087,21.77,18.225,,19.306,19.409,0.03,0.034,,0.003,0.005,0.02,0.018,,0.003,0.003
333,1.31,80615,rccd080615.0005_gregist,2454633.49423,21.994,18.83,,19.591,20.04,21.729,,18.765,19.291,19.345,0.037,0.002,,0.004,0.005,0.026,,0.002,0.003,0.003
334,1.61,80622,rccd080622.0006_gregist,2454640.58682,22.03,18.883,17.529,19.645,20.093,21.734,18.019,18.792,19.372,19.399,0.024,0.001,0.001,0.002,0.003,0.012,0.001,0.001,0.002,0.002
335,1.62,80625,rccd080625.0030_gregist,2454643.58027,22.072,18.904,17.556,19.671,20.111,21.768,18.043,18.816,19.395,19.421,0.014,0.001,0.001,0.002,0.002,0.008,0.001,0.001,0.002,0.002
336,1.58,80627,rccd080627.0032_gregist,2454645.56704,22.063,49.152,,19.651,20.092,21.772,,80.959,19.359,,0.015,,,0.002,0.002,0.011,,,0.002,
337,1.71,80628,rccd080628.0037_gregist,2454646.59018,22.706,84.243,18.158,20.273,20.713,22.419,73.848,107.653,19.979,,0.026,,0.001,0.003,0.004,0.016,,,0.003,
338,1.37,80701,rccd080701.0004_gregist,2454649.48574,22.078,,17.563,19.687,20.12,21.821,18.058,,19.384,19.429,0.017,,0.001,0.002,0.003,0.011,0.001,,0.002,0.002
339,1.35,80702,rccd080702.0008_gregist,2454650.47380,22.007,,,19.608,20.046,21.708,17.978,,19.308,19.361,0.013,,,0.002,0.002,0.01,0.001,,0.001,0.002
340,1.44,80704,rccd080704.0009_gregist,2454652.50766,21.985,18.844,,19.611,20.062,21.757,17.982,18.76,19.342,19.363,0.013,0.001,,0.002,0.002,0.009,0.001,0.001,0.001,0.002
341,1.49,80713,rccd080713.0013_gregist,2454661.49866,22.085,17.5,,19.62,20.058,21.789,17.683,17.412,19.331,19.38,0.041,0.019,,0.003,0.005,0.022,0.018,0.018,0.003,0.003
342,1.6,80718,rccd080718.0015_gregist,2454666.51406,22.058,18.886,,19.657,20.098,21.827,18.016,18.795,19.385,19.401,0.044,0.002,,0.004,0.006,0.028,0.001,0.002,0.004,0.004
343,1.61,80729,rccd080729.0004_gregist,2454677.48560,22.09,57.417,17.582,19.688,20.141,21.831,20.194,,19.391,,0.017,,0.001,0.002,0.003,0.01,0.041,,0.002,
344,1.65,80804,rccd080804.0006_gregist,2454683.47779,22.066,18.907,17.562,19.67,20.117,21.8,18.042,18.822,19.403,19.422,0.018,0.001,0.001,0.002,0.003,0.01,0.001,0.001,0.002,0.002
345,1.73,80807,rccd080807.0006_gregist,2454686.48543,21.968,,,19.589,20.041,21.535,,87.859,19.304,,0.019,,,0.002,0.003,0.012,,,0.002,
346,1.63,81129,rccd081129.0081_gregist,2454800.80737,21.955,,,19.536,19.988,21.668,,,19.282,19.308,0.011,,,0.001,0.002,0.009,,,0.001,0.002
347,1.62,81205,rccd081205.0082_gregist,2454806.79385,21.994,18.816,,19.575,20.023,21.711,,18.734,19.304,19.332,0.013,0.001,,0.002,0.002,0.009,,0.001,0.002,0.001
348,1.66,81208,rccd081208.0065_gregist,2454809.77813,21.955,18.807,,19.559,20.001,21.705,17.936,18.724,19.299,19.322,0.012,0.001,,0.002,0.002,0.011,0.001,0.001,0.002,0.002
349,1.49,81214,rccd081214.0080_gregist,2454815.80259,21.96,18.793,,19.544,19.99,21.612,,18.735,19.285,19.313,0.037,0.002,,0.004,0.006,0.022,,0.002,0.003,0.003
350,1.49,81217,rccd081217.0081_gregist,2454818.79401,21.998,18.782,,19.544,19.99,21.559,,18.712,19.282,19.298,0.024,0.001,,0.002,0.003,0.013,,0.001,0.002,0.002
351,1.44,81220,rccd081220.0067_gregist,2454821.80240,21.971,18.779,,19.539,19.977,21.671,,18.689,19.273,19.294,0.015,0.001,,0.002,0.003,0.01,,0.001,0.002,0.002
